PeleGHPlate1	1	2	3	4	5	6	7	8	9	10	11	12
A	EZE_EZ1_7	HB_HB14_4	WOR_fg2_3	ME_ME2_5	ME_ME17_28	UDP_UP38_3	UDP_M1U_8	UDP_UD4_9	ME_ME17_13	ME_ME17_32	ME_ME8_7	ME_ME17_1
B	NR_NR6_1	EZE_EZ4_1	FG_FG24_3	FG_FG24_5	UDP_UD13_8	KB_K13_10	HB_HB28_1	FG_FG24_1	ME_ME8_9	UDP_UP45_1	UDP_UD13_20	FG_FG27_1
C	VR_VR23_1	SB_SB10_2	HB_HB19_1	UDP_M13_7	VR_VR16_1	SB_SW13_2	ME_ME8_4	ME_ME17_8	NR_NR12_1	UDP_M5_6	VR_VR10_4	HB_HB14_2
D	UDP_UP45_12	SEW_SEWUSE3_3	UDP_UD10_1	UDP_M13_4	UDP_UD5_1	UDP_UD4_2	ME_ME6_9	PK_P4_1	UDP_M8_4	PK_D_1	HB_HB11_14	UDP_M4_1
E	SEW_SEW6_1	ME_ME9_2	SB_SB16_3	HB_HB41_13	HB_HB41_1	UDP_UD20_3	ME_ME17_35	ORW_ORW12_2	ME_ME8_25	UDP_UD20_7	EZE_EZ8_4	EZE_EZ10_1
F	WOR_fg2_5	UDP_UP45_25	UDP_M13_6	ME_MEP2_1	HB_HB41_7	ME_ME6_1	UDP_UP39_10	KB_K15_10	SB_SB8_1	SEW_SEW6_5	HB_HB28_3	EZE_EZ9_2
G	UDP_UP38_7	UDP_UP45_12	HB_HB16_1	UDP_M13_5	UDP_M5_4	ME_ME6_25	EZE_EZ8_1	UDP_M1U_6	AU_AU28_2	PK_P20_4	HB_HB41_9	EZE_EZ2_1
H	UDP_UP45_5	ME_ME17_6	KB_KB19_5	UDP_UD13_3	HB_HB32_5	VR_VR23_19	WOR_fg2_7	KB_K19_2	UDP_UD20_10	KB_K19_10	HB_HB17_4	VR_VR31_5
												
PeleGHPlate2	1	2	3	4	5	6	7	8	9	10	11	12
A	UDP_UP38_9	UDP_UP45_10	FG_FG24_7	UDP_UD10_7	ME_ME17_24	ME_MEP2_3	UDP_M13_25	ME_ME6_29	UDP_UD13_16	ME_MEP2_9	UDP_UP38_19	HB_HB16_5
B	UDP_UD4_6	UDP_UD13_26	KB_K13_2	EZE_EZ9_5	UDP_UP38_1	HB_HB11_2	UDP_M4_5	HB_HB11_8	ME_MEP2_7	VR_VR13_2	UDP_UD13_28	UDP_UP39_4
C	UDP_UP45_7	HB_HB46_5	HB_HB11_12	UDP_UP45_19	KB_K19_4	UDP_UD13_11	VR_VR27_9	SB_SB16_1	UDP_UD13_18	UDP_UP39_8	MID_MB12_2	MID_MB11_1
D	UDP_UP38_5	KB_K15_2	UDP_UD13_9	HB_HB41_3	UDP_UD4_4	EZE_EZ8_3	HB_HB32_3	ME_ME17_26	KB_K13_6	ME_MEP2_5	ME_ME6_7	EZE_EZ1_5
E	UDP_UD13_5	ME_ME2_3	ME_ME17_30	UDP_M13_3	ME_ME8_2	HB_HB49_5	WOR_FG20_9	UDP_UP38_23	HB_HB11_6	EZE_EZ11_2	FG_fg2_5	ME_ME6_12
F	ME_ME6_5	HB_HB46_3	EZE_EZ4_5	HB_HB16_3	UDP_UP45_21	EZE_EZ1_3	KB_K19_8	ME_ME6_22	HB_HB11_10	UDP_UP45_14	UDP_UP45_23	UDP_UD14_2
G	WOR_FG20_2	VR_VR27_7	EZE_EZ1_1	WOR_FG21_2	EZE_EZ16_2	ME_ME17_11	MID_MB16_1	VR_VR27_11	HB_HB49_7	PKHLEI_LG15_3	ME_ME8_1	KB_K19_6
H	ME_ME9_4	HB_HB41_11	KB_K13_8	ME_ME6_24	NR_NR7_1	HB_HB49_3	VR_VR25_1	ME_ME17_3	HB_HB47_2	KB_K6_1	KB_K7_2	VR_VR27_1
												
PeleGHPlate3	1	2	3	4	5	6	7	8	9	10	11	12
A	UDP_M8_6	HB_HB11_17	SEW_SEWUSE3_1	VR_VR31_2	KB_K15_8	EZE_EZ7_1	UDP_M13_8	UDP_M13_2	UDP_UP39_5	NR_NR6_2	WOR_fg2_1	HB_HB46_4
B	ORW_ORW1_1	UDP_M13_27	UDP_M13_3	KB_K15_1	ME_ME2_7	EZE_EZ5_5	UDP_UD20_1	UDP_UD13_7	HB_HB47_1	UDP_M13_1	EZE_EZ16_3	ME_ME6_8
C	UDP_M1U_2	KB_K100_2	ME_ME6_31	UDP_UP38_21	HB_HB17_2	UDP_M13_1	ME_ME17_4	HB_HB32_1	FG_FG27_3	MID_1607_1	ORW_ORW1_2	HB_HB49_4
D	PKHLEI_LG15_1	SEW_SEW6_3	HB_HB46_1	UDP_M5_2	EZE_EZ5_1	UDP_UP45_3	EZE_EZ9_4	EZE_EZ8_2	UDP_UD13_4	UDP_M13_4	ME_ME6_26	VR_VR27_8
E	ME_ME8_24	VR_VR27_5	EZE_EZ2_3	EZE_EZ4_3	UDP_UD10_3	VR_VR3_1	KB_K15_4	UDP_M4_4	HB_HB19_5	EZE_EZ4_2	ME_ME6_21	SB_SB7_1
F	PK_D_3	ME_ME17_33	ME_ME6_3	HB_HB19_3	HB_HB41_5	UDP_UD13_22	VR_VR10_1	UDP_UD14_1	EZE_EZ9_1	ME_ME2_4	UDP_UP38_10	WOR_FG30_1
G	ME_ME6_27	UDP_UD13_1	UDP_M1U_4	LG_LG16_1	EZE_EZ5_3	UDP_UD4_8	ME_ME17_31	HB_HB28_2	HB_HB32_4	UDP_M8_3	UDP_UD4_1	SEW_SEW6_2
H	VR_VR31_3	UDP_UP39_6	UDP_UP38_17	HB_HB14_6	ME_ME8_22	KB_K15_6	HB_HB47_6	KB_K13_11	HB_HB41_4	UDP_UD10_8	ME_ME8_3	UDP_UP38_18
												
PeleGHPlate4	1	2	3	4	5	6	7	8	9	10	11	12
A	HB_HB28_5	UDP_UD10_6	MID_MB14_1	UDP_M13_10	ME_MEP2_6	ME_ME17_12	HB_HB17_3	ME_ME6_4	KB_K15_3	ME_ME6_11	UDP_UD20_2	UDP_UD13_21
B	KB_K7_1	KB_K13_7	UDP_UP39_1	EZE_EZ5_4	UDP_M5_1	HB_HB11_3	VR_VR27_4	EZE_EZ19_1	SB_SB6_1	EZE_EZ11_1	ME_ME2_6	HB_HB11_1
C	ME_ME6_23	EZE_EZ7_3	UDP_M4_2	UDP_M1U_1	WOR_FG20_6	UDP_UD4_7	NR_NR12_2	UDP_UP39_7	ME_ME17_10	KB_K15_7	ME_ME6_32	ME_ME8_23
D	SB_SB10_1	FG_FG24_10	SB_SB9_1	VR_VR27_2	HB_HB19_2	ME_ME9_1	UDP_UP45_22	VR_VR13_6	EZE_EZ1_6	UDP_UD13_19	UDP_UP38_22	ME_ME8_26
E	UDP_UD20_4	UDP_UP39_9	ORW_ORW12_1	SB_SW13_1	EZE_EZ10_2	UDP_UD20_11	ME_ME8_2	UDP_M13_9	KB_K100_3	HB_HB47_3	KB_K13_9	VR_VR27_6
F	EZE_EZ2_4	HB_HB16_6	UDP_M8_1	ME_ME6_30	UDP_UP45_20	EZE_EZ4_4	MID_MB14_2	SB_SB16_2	WOR_FG20_1	KB_K13_1	EZE_EZ1_4	ME_ME17_27
G	UDP_M13_6	UDP_M1U_7	ME_ME9_3	WOR_fg2_4	EZE_EZ6_3	UDP_UP38_4	NR_NR6_2	MID_MB11_2	ME_MEP2_8	UDP_UP45_4	VR_VR19_1	VR_VR32_2
H	PK_P20_1	UDP_UD14_3	KB_K3_2	UDP_M13_2	UDP_UD4_5	WOR_FG20_3	EZE_EZ1_2	UDP_UP38_6	EZE_EZ11_3	ME_ME17_25	UDP_UD14_5	ME_ME6_10
												
PeleGHPlate5	1	2	3	4	5	6	7	8	9	10	11	12
A	UDP_UD13_17	WOR_FG1_3	ME_MEP2_2	HB_HB11_15	HB_HB41_6	PKHLEI_LG15_2	ME_ME6_28	UDP_UD20_9	KB_K19_3	UDP_UP45_6	HB_HB46_2	UDP_UP45_15
B	UDP_UD4_12	HB_HB32_6	HB_HB16_2	EZE_EZ2_2	UDP_UP38_20	HB_HB17_5	ME_ME17_2	KB_K7_3	VR_VR31_1	VR_VR31_4	EZE_EZ7_2	FG_FG24_4
C	PKHLEI_LG9_1	SEW_SEW6_4	KB_K8_1	NR_NR8_14	UDP_UD14_6	UDP_M1U_5	UDP_UP39_3	EZE_EZ11_7	VR_VR3_2	UDP_UP45_13	PKHLEI_LG15_6	UDP_UD4_3
D	MB_MB16_2	FG_FG24_6	ME_ME17_23	UDP_UD10_4	UDP_M13_7	VR_VR35_1	UDP_UP45_11	HB_HB41_2	UDP_UD13_10	KB_K15_11	UDP_M5_5	FG_FG27_2
E	KB_K19_1	KB_K13_3	ME_ME6_2	HB_HB11_7	UDP_UP38_16	VR_VR23_18	EZE_EZ5_6	HB_HB16_4	KB_K13_5	UDP_M13_5	UDP_M1U_3	SB_SB10_3
F	ME_ME17_29	PK_ORW8_1	UDP_UD5_2	UDP_UP38_8	HB_HB47_8	HB_HB49_6	ME_ME2_2	UDP_M8_5	HB_HB14_1	VR_VR1_9	SEW_SEW6_8	UDP_UP45_24
G	VR_VR16_2	ME_ME6_6	UDP_UP38_24	ME_ME8_11	ME_ME17_9	ME_ME8_6	UDP_UD20_6	ME_ME17_7	HB_HB11_5	UDP_M1U_9	ME_ME8_8	HB_HB28_4
H	NR_NR12_4	SEW_SEWUSE3_2	HB_HB17_1	UDP_M13_30	UDP_UD13_2	HB_HB41_12	UDP_UD20_8	MID_MB12_1	SB_SW4_1	HB_HB11_9	ME_MEP2_4	WOR_FG21_1
												
PeleGHPlate6	1	2	3	4	5	6	7	8	9	10	11	12
A	KB_K6_2	HB_HB47_5	HB_HB14_3	PVR4_1	PHB33_4	PME10_3	PM16U_6	PME15_4	PEZ1_5	PMB16_2	PK19_11	PUD11_1
B	HB_HB49_1	EZE_EZ9_3	ME_ME17_5	PM16U_4	PEZ1_1	PUD4_2	PSW4_2	PPK20_4	PM16U_8	PFG29_1	PUD11_5	PHB33_2
C	KB_K19_9	UDP_UP38_2	UDP_UD4_9	PK15_2	PM16U_2	PUD7_1	PSW11_5	PSEW3_1	PEZ2_1	PUD11_3	PME10_5	PK3_3
D	HB_HB11_11	ME_ME9_5	UDP_M5_3	PK19_17	PMB16_4	PK19_7	PK13_2	PK19_21	PUD7_5	PFG17_1	PK100_3	PME15_2
E	UDP_UD13_12	KB_K15_5	PEZ3_1	PME10_1	PSW11_1	PSB10_2	PK15_8	PHB5_2	PK3_1	PHB15_1	Pfg2_4	PM16U_3
F	HB_HB46_6	ME_MEP2_9	PNR8_3	PUD4_6	PK100_4	PNR16_1	PHB5_4	PUD7_9	PSW4_4	PSB16_2	PME16_1	PPK20_2
G	ME_ME8_5	PK_PH13_1	PK19_9	PUD7_3	PSW11_3	PME16_4	PMB12_4	PK19_1	PK19_15	PNR8_1	PK19_13	PMB12_1
H	HB_HB41_14	UDP_UD13_6	PK100_1	PK6_1	PSWEUSE3_1	Pfg2_2	PK6_2	PM1U_6	PM1U_2	Pfg2_6	PSB16_6	PHB15_2
												
PeleGHPlate7	1	2	3	4	5	6	7	8	9	10	11	12
A	PK15_3	PUD7_7	PHB13_1	PK6_1	PME16_2	PK19_10	PHB5_5	PK19_18	PK19_16	PUD11_2	PK7_1	PSB10_5
B	PK19_24	PK19_3	PM1U_5	PUD7_8	PME10_2	PFG21_4	PSB10_3	PUD7_10	PUD11_6	PK19_2	PK15_5	PK3_2
C	PK19_22	PUD11_7	PHB5_3	PK7_2	PME17_1	PSB16_9	PM1U_3	PEZ1_6	PK15_9	PME10_4	PK19_12	PK19_6
D	PPK20_1	PSB16_4	PMB12_3	PK6_3	PUD7_6	PSB16_3	PK13_3	PHB33_1	PSWEUSE3_2	PK13_1	PSB16_7	PK19_20
E	PEZ1_3	PK19_5	PHB33_3	PEZ1_7	PHB13_2	PMB16_1	PHB12_1	PUD4_1	PHB33_5	PSEW3_2	PK100_2	Pfg2_1
F	PME16_3	PK19_19	PUD4_5	PUD4_3	PHB5_1	PUD7_2	PVR1_1	PUD7_4	PFG21_2	PVR1_2	PNR8_2	PPK20_3
G	PHB12_2	PK15_6	PK19_26	PK8_1	PSB16_1	Pfg2_5	PMB16_3	PM16U_7	PUD4_7	PME15_3	PK15_1	PEZ1_2
H	PSB16_8	PUD4_4	PHB15_3	PHB12_3	PUD11_4	PK19_4	PEZ5_2	PM16U_1	PK15_4	PM16U_5	PSW11_2	PEZ1_4
												
PeleGHPlate8	1	2	3	4	5	6	7	8	9	10	11	12
A	PK19_14	NR_NR9_1	UDP_UP39_2	UDP_UP45_10	PK_PK2_2	HB_HB43_7	UDP_M8_9	PK_ORW8_1	NR_NR6_2	HB_HB19_6	PME15_1	HB_HB41_10
B	PME15_5	UDP_UP38_25	ME_ME8_10	VR_VR27_7	MID_MB12_2	SW_SW4_2	PK_PK2_1	UDP_UP45_26	EZE_EZ19_1	EZE_EZ5_6	PSW4_1	ME_ME6_45
C	PPK20_1	UDP_UD4_11	UDP_UD4_9	KB_K13_2	ME_ME6_12	UDP_M8_6	MID_MB14_1	ME_ME6_13	EZE_EZ8_4	PK_D_6	PORW14_1	ME_ME8_26
D	PEZ1_3	EZE_EZ11_9	NR_NR12_1	UDP_UD13_9	UDP_M8_6	UDP_UP39_5	VR_VR27_11	UDP_M13_2	MID_MB11_2	SEW_SEW6_8	PK19_3	SW_SEW6_9
E	PME16_3	MID_M26_1	NR_NR8_16	ME_ME17_30	HB_HB28_7	UDP_M8_10	UDP_M4_15	VR_VR19_4	UDP_UP38_6	UDP_M4_14	SW_SW13_1	HB_HB17_6
F	PHB12_2	UDP_UP39_11	EZE_EZ8_4	NR_NR12_3	MID_M22_2	ME_ME17_22	VR_VR16_3	HB_HB17_3	UDP_UD13_12	HB_HB41_14	KB_K15_31	EZE_EZ2_5
G	PSB16_8	UDP_M13_11	KB_K8_2	VR_VR19_3	VR_VR27_5	HB_HB43_8	ME_ME17_29	HB_HB17_3	NR_NR8_15	PSW714_1	HB_HB46_12	KB_K15_32
H	PUD7_7	KB_K13_4	UDP_UP45_7	SB_SB9_2	UDP_M8_7	MB_M19_1	WOR_FG1_3	MID_MB14_2	ME_ME8_21	PM16U_9	VR_VR23_25	NR_NR9_2
												
PeleGHPlate9	1	2	3	4	5	6	7	8	9	10	11	12
A												
B												
C												
D												
E												
F												
G												
H												
												
PeleGHPlate10	1	2	3	4	5	6	7	8	9	10	11	12
A	P24.31_2	P55.02_1	P14.7_3	Pbeach2_8	Pbeach1_10	P45.13_1	P20.8_3	P9.5_1	P9.6_1	P1.4_3	P3.4_3	P20.1_5
B	P20.7_1	P45.4_A4_1	P45.3_2	Pbeach1_16	P45.06_2	P21.7_1	Pbeach1_4	P19.6_3	P14.5_3	P20.6_2	P9.6_3_2	Pbeach1_14
C	EMPTY	P21.8_1	P9.6_3	P1.6_1	P1.4_1	P5.12_4	Pbeach1_20	P14.23_1	P14.4_1	P24.17_3	P66.12_1	P45.22_1
D	P20.7_2	P9.7_3_2	Pbeach1_24	P50_51.8_3_2	P20.5C_1	P20.1_1	P50.11_1	P2.5_1	Ptongaense_2	P45.6xA4_1	P2.6_3	P14.5_1
