"plate.name","well","value"
"PeleGHPlate1","A01","EZE_EZ1_7"
"PeleGHPlate1","A02","HB_HB14_4"
"PeleGHPlate1","A03","WOR_fg2_3"
"PeleGHPlate1","A04","ME_ME2_5"
"PeleGHPlate1","A05","ME_ME17_28"
"PeleGHPlate1","A06","UDP_UP38_3"
"PeleGHPlate1","A07","UDP_M1U_8"
"PeleGHPlate1","A08","UDP_UD4_9"
"PeleGHPlate1","A09","ME_ME17_13"
"PeleGHPlate1","A10","ME_ME17_32"
"PeleGHPlate1","A11","ME_ME8_7"
"PeleGHPlate1","A12","ME_ME17_1"
"PeleGHPlate1","B01","NR_NR6_1"
"PeleGHPlate1","B02","EZE_EZ4_1"
"PeleGHPlate1","B03","FG_FG24_3"
"PeleGHPlate1","B04","FG_FG24_5"
"PeleGHPlate1","B05","UDP_UD13_8"
"PeleGHPlate1","B06","KB_K13_10"
"PeleGHPlate1","B07","HB_HB28_1"
"PeleGHPlate1","B08","FG_FG24_1"
"PeleGHPlate1","B09","ME_ME8_9"
"PeleGHPlate1","B10","UDP_UP45_1"
"PeleGHPlate1","B11","UDP_UD13_20"
"PeleGHPlate1","B12","FG_FG27_1"
"PeleGHPlate1","C01","VR_VR23_1"
"PeleGHPlate1","C02","SB_SB10_2"
"PeleGHPlate1","C03","HB_HB19_1"
"PeleGHPlate1","C04","UDP_M13_7"
"PeleGHPlate1","C05","VR_VR16_1"
"PeleGHPlate1","C06","SB_SW13_2"
"PeleGHPlate1","C07","ME_ME8_4"
"PeleGHPlate1","C08","ME_ME17_8"
"PeleGHPlate1","C09","NR_NR12_1"
"PeleGHPlate1","C10","UDP_M5_6"
"PeleGHPlate1","C11","VR_VR10_4"
"PeleGHPlate1","C12","HB_HB14_2"
"PeleGHPlate1","D01","UDP_UP45_12"
"PeleGHPlate1","D02","SEW_SEWUSE3_3"
"PeleGHPlate1","D03","UDP_UD10_1"
"PeleGHPlate1","D04","UDP_M13_4"
"PeleGHPlate1","D05","UDP_UD5_1"
"PeleGHPlate1","D06","UDP_UD4_2"
"PeleGHPlate1","D07","ME_ME6_9"
"PeleGHPlate1","D08","PK_P4_1"
"PeleGHPlate1","D09","UDP_M8_4"
"PeleGHPlate1","D10","PK_D_1"
"PeleGHPlate1","D11","HB_HB11_14"
"PeleGHPlate1","D12","UDP_M4_1"
"PeleGHPlate1","E01","SEW_SEW6_1"
"PeleGHPlate1","E02","ME_ME9_2"
"PeleGHPlate1","E03","SB_SB16_3"
"PeleGHPlate1","E04","HB_HB41_13"
"PeleGHPlate1","E05","HB_HB41_1"
"PeleGHPlate1","E06","UDP_UD20_3"
"PeleGHPlate1","E07","ME_ME17_35"
"PeleGHPlate1","E08","ORW_ORW12_2"
"PeleGHPlate1","E09","ME_ME8_25"
"PeleGHPlate1","E10","UDP_UD20_7"
"PeleGHPlate1","E11","EZE_EZ8_4"
"PeleGHPlate1","E12","EZE_EZ10_1"
"PeleGHPlate1","F01","WOR_fg2_5"
"PeleGHPlate1","F02","UDP_UP45_25"
"PeleGHPlate1","F03","UDP_M13_6"
"PeleGHPlate1","F04","ME_MEP2_1"
"PeleGHPlate1","F05","HB_HB41_7"
"PeleGHPlate1","F06","ME_ME6_1"
"PeleGHPlate1","F07","UDP_UP39_10"
"PeleGHPlate1","F08","KB_K15_10"
"PeleGHPlate1","F09","SB_SB8_1"
"PeleGHPlate1","F10","SEW_SEW6_5"
"PeleGHPlate1","F11","HB_HB28_3"
"PeleGHPlate1","F12","EZE_EZ9_2"
"PeleGHPlate1","G01","UDP_UP38_7"
"PeleGHPlate1","G02","UDP_UP45_12"
"PeleGHPlate1","G03","HB_HB16_1"
"PeleGHPlate1","G04","UDP_M13_5"
"PeleGHPlate1","G05","UDP_M5_4"
"PeleGHPlate1","G06","ME_ME6_25"
"PeleGHPlate1","G07","EZE_EZ8_1"
"PeleGHPlate1","G08","UDP_M1U_6"
"PeleGHPlate1","G09","AU_AU28_2"
"PeleGHPlate1","G10","PK_P20_4"
"PeleGHPlate1","G11","HB_HB41_9"
"PeleGHPlate1","G12","EZE_EZ2_1"
"PeleGHPlate1","H01","UDP_UP45_5"
"PeleGHPlate1","H02","ME_ME17_6"
"PeleGHPlate1","H03","KB_KB19_5"
"PeleGHPlate1","H04","UDP_UD13_3"
"PeleGHPlate1","H05","HB_HB32_5"
"PeleGHPlate1","H06","VR_VR23_19"
"PeleGHPlate1","H07","WOR_fg2_7"
"PeleGHPlate1","H08","KB_K19_2"
"PeleGHPlate1","H09","UDP_UD20_10"
"PeleGHPlate1","H10","KB_K19_10"
"PeleGHPlate1","H11","HB_HB17_4"
"PeleGHPlate1","H12","VR_VR31_5"
"PeleGHPlate2","A01","UDP_UP38_9"
"PeleGHPlate2","A02","UDP_UP45_10"
"PeleGHPlate2","A03","FG_FG24_7"
"PeleGHPlate2","A04","UDP_UD10_7"
"PeleGHPlate2","A05","ME_ME17_24"
"PeleGHPlate2","A06","ME_MEP2_3"
"PeleGHPlate2","A07","UDP_M13_25"
"PeleGHPlate2","A08","ME_ME6_29"
"PeleGHPlate2","A09","UDP_UD13_16"
"PeleGHPlate2","A10","ME_MEP2_9"
"PeleGHPlate2","A11","UDP_UP38_19"
"PeleGHPlate2","A12","HB_HB16_5"
"PeleGHPlate2","B01","UDP_UD4_6"
"PeleGHPlate2","B02","UDP_UD13_26"
"PeleGHPlate2","B03","KB_K13_2"
"PeleGHPlate2","B04","EZE_EZ9_5"
