"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
1,1,A01,K100,"Kamiesberg Pass, N Cape",-30.19343,17.96692,P. scabrum,1000,C_Chong
2,1,B01,K3,"Kamiesberg Pass, N Cape",-30.193118,17.967105,P. scabrum,1000,C_Chong
3,1,C01,K6,"Kamiesberg Pass, N Cape",-30.193149,17.967166,P. scabrum,1000,C_Chong
4,1,D01,K7,"Kamiesberg Pass, N Cape",-30.193161,17.967178,P. scabrum,1000,C_Chong
5,1,E01,K8,"Kamiesberg Pass, N Cape",-30.193164,17.967178,P. scabrum,1000,C_Chong
6,1,F01,K10,"Kamiesberg Pass, N Cape",-30.193174,17.967193,P. scabrum,1000,C_Chong
7,1,G01,K12,"Kamiesberg Pass, N Cape",-30.193359,17.967062,P. scabrum,1000,C_Chong
8,1,H01,K13,"Kamiesberg Pass, N Cape",-30.19336,17.967029,P. scabrum,1000,C_Chong
9,1,A02,K15,"Kamiesberg Pass, N Cape",-30.193403,17.967013,P. scabrum,1000,C_Chong
10,1,B02,K19,"Kamiesberg Pass, N Cape",-30.193403,17.967013,P. scabrum,1000,C_Chong
11,1,C02,K1,"Kamiesberg Pass, N Cape",-30.193109,17.967101,P. scabrum,1000,C_Chong
12,1,D02,K2,"Kamiesberg Pass, N Cape",-30.193106,17.967119,P. scabrum,1000,C_Chong
13,1,E02,K4,"Kamiesberg Pass, N Cape",-30.193115,17.967096,P. scabrum,1000,C_Chong
14,1,F02,K5,"Kamiesberg Pass, N Cape",-30.19315,17.967167,P. scabrum,1000,C_Chong
15,1,G02,K9,"Kamiesberg Pass, N Cape",-30.193167,17.96718,P. scabrum,1000,C_Chong
16,1,H02,K11,"Kamiesberg Pass, N Cape",-30.193215,17.967163,P. scabrum,1000,C_Chong
17,1,A03,K14,"Kamiesberg Pass, N Cape",-30.193416,17.967115,P. scabrum,1000,C_Chong
18,1,B03,K16,"Kamiesberg Pass, N Cape",-30.193423,17.967001,P. scabrum,1000,C_Chong
19,1,C03,K17,"Kamiesberg Pass, N Cape",-30.193428,17.966981,P. scabrum,1000,C_Chong
20,1,D03,K18,"Kamiesberg Pass, N Cape",-30.193421,17.966985,P. scabrum,1000,C_Chong
21,1,E03,VR1,Van Rhynsdorp Pass,-31.37082,19.01797,P. scabrum,1001,C_Chong
22,1,F03,VR2,Van Rhynsdorp Pass,-31.371,19.01846,P. scabrum,1001,C_Chong
23,1,G03,VR3,Van Rhynsdorp Pass,-31.37078,19.017,P. scabrum,1001,C_Chong
24,1,H03,VR4,Van Rhynsdorp Pass,-31.37078,19.01789,P. scabrum,1001,C_Chong
25,1,A04,VR5,Van Rhynsdorp Pass,-31.37052,19.01787,P. scabrum,1001,C_Chong
26,1,B04,VR6,Van Rhynsdorp Pass,-31.370449,19.017981,P. scabrum,1001,C_Chong
