,garmin wpt,,plantid,NEW ID CODE,site,lat,long,GPS,species,comments,
41,411,17-AUG-14 7:03:39AM,GB5.1,GB,Gifberg5,-31.77623279,18.76363213,gps3,scabrum,,
42,421,17-AUG-14 7:05:31AM,GB5.2,GB,Gifberg5,-31.77622533,18.76362601,gps3,scabrum,,
43,431,17-AUG-14 7:07:48AM,GB5.3,GB,Gifberg5,-31.77608888,18.76354387,gps3,scabrum,,
44,441,17-AUG-14 7:09:27AM,GB5.4,GB,Gifberg5,-31.77607211,18.76355996,gps3,scabrum,,
45,451,17-AUG-14 7:10:55AM,GB5.5,GB,Gifberg5,-31.7760173,18.76347338,gps3,scabrum,,
46,461,17-AUG-14 7:13:13AM,GB5.6,GB,Gifberg5,-31.77599969,18.76340264,gps3,scabrum,,
47,471,17-AUG-14 7:14:59AM,GB5.7,GB,Gifberg5,-31.77599106,18.76337791,gps3,scabrum,,
48,481,17-AUG-14 7:15:49AM,GB5.8,GB,Gifberg5,-31.77601763,18.76335385,gps3,scabrum,,
49,491,17-AUG-14 7:16:55AM,GB5.9,GB,Gifberg5,-31.77603783,18.76337506,gps3,scabrum,,
50,501,17-AUG-14 7:17:52AM,GB5.10,GB,Gifberg5,-31.77604923,18.76333759,gps3,scabrum,,
51,511,17-AUG-14 7:18:41AM,GB5.11,GB,Gifberg5,-31.77606138,18.76330859,gps3,scabrum,,
52,521,17-AUG-14 7:19:31AM,GB5.12,GB,Gifberg5,-31.77605434,18.76330356,gps3,scabrum,,
53,531,17-AUG-14 7:20:35AM,GB5.13,GB,Gifberg5,-31.7759468,18.76317817,gps3,scabrum,,
54,541,17-AUG-14 7:21:30AM,GB5.14,GB,Gifberg5,-31.77590783,18.76315487,gps3,scabrum,,
55,551,17-AUG-14 7:22:36AM,GB5.15,GB,Gifberg5,-31.77585536,18.76316836,gps3,scabrum,,
56,561,17-AUG-14 7:23:24AM,GB5.16,GB,Gifberg5,-31.77580498,18.76318093,gps3,scabrum,,
